vehicle_id,route
1,차량 1 현재위치 → 배송지_81 → 배송지_27 → 배송지_36 → 배송지_15 → 배송지_98 → 배송지_59 → 배송지_02 → 배송지_07 → 물류센터
2,차량 2 현재위치 → 배송지_21 → 배송지_64 → 배송지_46 → 배송지_73 → 배송지_17 → 배송지_50 → 배송지_84 → 배송지_37 → 배송지_92 → 물류센터
3,차량 3 현재위치 → 배송지_61 → 배송지_04 → 배송지_20 → 배송지_01 → 배송지_41 → 배송지_12 → 배송지_100 → 배송지_55 → 배송지_19 → 물류센터
4,차량 4 현재위치 → 배송지_29 → 배송지_83 → 배송지_42 → 배송지_45 → 배송지_79 → 배송지_03 → 배송지_14 → 배송지_76 → 배송지_97 → 배송지_88 → 물류센터
5,차량 5 현재위치 → 배송지_99 → 배송지_08 → 배송지_24 → 배송지_90 → 배송지_89 → 배송지_43 → 배송지_70 → 배송지_56 → 배송지_82 → 배송지_05 → 배송지_78 → 물류센터
6,차량 6 현재위치 → 배송지_75 → 배송지_68 → 배송지_66 → 배송지_32 → 배송지_38 → 배송지_80 → 배송지_57 → 배송지_94 → 배송지_09 → 배송지_65 → 배송지_28 → 물류센터
7,차량 7 현재위치 → 배송지_10 → 배송지_60 → 배송지_86 → 배송지_40 → 배송지_33 → 배송지_35 → 배송지_77 → 배송지_69 → 배송지_06 → 배송지_23 → 물류센터
8,차량 8 현재위치 → 배송지_95 → 배송지_96 → 배송지_31 → 배송지_54 → 배송지_58 → 배송지_74 → 배송지_48 → 배송지_63 → 배송지_16 → 배송지_34 → 배송지_26 → 물류센터
9,차량 9 현재위치 → 배송지_30 → 배송지_18 → 배송지_52 → 배송지_44 → 배송지_53 → 배송지_13 → 배송지_91 → 배송지_62 → 배송지_39 → 배송지_22 → 물류센터
10,차량 10 현재위치 → 배송지_49 → 배송지_85 → 배송지_71 → 배송지_51 → 배송지_93 → 배송지_87 → 배송지_67 → 배송지_47 → 배송지_72 → 배송지_25 → 배송지_11 → 물류센터
